Domain,Area,Element,Item,Year,Value
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1961,3.29
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1962,2.41
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1963,3.87
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1964,3.69
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1965,3.58
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1966,3.58
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1967,3.79
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1968,3.54
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1969,3.8
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1970,4.87
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1971,4.91
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1972,5.72
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1973,7.55
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1974,8.4
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1975,5.3
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1976,6.81
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1977,6.66
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1978,6.67
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1979,7.51
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1980,7.13
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1981,7.45
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1982,6.48
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1983,7.24
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1984,6.44
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1985,6.15
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1986,6.51
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1987,7.46
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1988,8.76
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1989,9.18
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1990,8.48
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1991,8.17
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1992,8.98
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1993,10.18
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1994,12.17
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1995,13.54
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1996,10.61
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1997,12.05
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1998,10.74
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),1999,9.28
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2000,9.13
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2001,9.87
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2002,8.96
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2003,9.36
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2004,9.92
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2005,8.3
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2006,9.1
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2007,9.66
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2008,8.76
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2009,5.7
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2010,6.4
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2011,5.6
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2012,5.88
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2013,6.63
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2014,7.17
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2015,7.64
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2016,8.41
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2017,8.79
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2018,9.38
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2019,9.31
Fertilizers indicators,Australia,Use per area of cropland,Nutrient potash K2O (total),2020,9.29
