Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1961","1961","hg/ha","11291","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1962","1962","hg/ha","12533","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1963","1963","hg/ha","13387","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1964","1964","hg/ha","13841","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1965","1965","hg/ha","9970","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1966","1966","hg/ha","15070","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1967","1967","hg/ha","8310","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1968","1968","hg/ha","13650","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1969","1969","hg/ha","11118","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1970","1970","hg/ha","12179","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1971","1971","hg/ha","12057","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1972","1972","hg/ha","8666","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1973","1973","hg/ha","13396","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1974","1974","hg/ha","13671","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1975","1975","hg/ha","14006","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1976","1976","hg/ha","13175","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1977","1977","hg/ha","9413","Fc","Calculated data"
